trace_id,timestamp,transaction_id,selected_action,decision_type,decision_reason,policy_version,model_version,decision_engine_version,rules_fired,escalation_required,terminal,selected_ev,selected_probability,m6_sendable,m6_channel,m6_fallback_used
23c0aa27-d706-437a-997b-d1d101c1b445,2026-08-28T19:20:41.193877Z,jikbnlkbnlki,no_action_required,terminal_no_action,already_recovered_terminal,v1.0,N/A,v1.0,[],0,1,,,0,,0
f49234c3-0fb1-4458-afca-a254df9f585c,2026-08-28T19:21:09.546820Z,ewrteryg,no_action_required,terminal_no_action,already_recovered_terminal,v1.0,N/A,v1.0,[],0,1,,,0,,0
34ec9c93-037b-4f60-8356-3437528a043e,2026-09-01T13:49:59.836345Z,jikbnlkbnlki,discount,ev_optimization,highest_expected_net_value,v1.0,M2_logistic_regression,v1.0,[],0,0,512.7724614442475,0.2848735896912486,1,sms,0
d25c42b6-18fc-4515-b18c-cd64ef610808,2026-09-02T19:14:35.653001Z,txn_7F3K92,discount,ev_optimization,highest_expected_net_value,v1.0,M2_logistic_regression,v1.0,[],0,0,512.7724614442475,0.2848735896912486,1,email,0
319416ac-8e62-49eb-a616-1ba223e168cd,2026-09-02T19:14:50.316721Z,txn_7F3K92,discount,ev_optimization,highest_expected_net_value,v1.0,M2_logistic_regression,v1.0,[],0,0,512.7724614442475,0.2848735896912486,1,email,0
3a250206-4385-4136-8b5b-25c8d6996abb,2026-09-02T19:14:53.922201Z,txn_7F3K92,discount,ev_optimization,highest_expected_net_value,v1.0,M2_logistic_regression,v1.0,[],0,0,512.7724614442475,0.2848735896912486,1,email,0
82d89289-9a49-41af-85c7-ea23bde71862,2026-09-02T19:15:17.810930Z,txn_7F3K92,discount,ev_optimization,highest_expected_net_value,v1.0,M2_logistic_regression,v1.0,[],0,0,512.7724614442475,0.2848735896912486,1,email,0
36709556-9e62-4926-81de-bd8767fdd6f0,2026-09-02T19:15:37.921677Z,txn_7F3K92,discount,ev_optimization,highest_expected_net_value,v1.0,M2_logistic_regression,v1.0,[],0,0,512.7724614442475,0.2848735896912486,1,email,0
ea382b51-b8a1-4c9d-a23f-db2ddac79f67,2026-09-02T19:36:15.714622Z,txn_phase2c_A,discount,ev_optimization,highest_expected_net_value,v1.0,M2_logistic_regression,v1.0,[],0,0,512.7724614442475,0.2848735896912486,1,email,0
45d9a31e-21ec-4212-9d3f-8b4ebd22ea4c,2026-09-02T19:37:59.776599Z,txn_3B8Z44,wait,ev_optimization,highest_expected_net_value,v1.0,M2_logistic_regression,v1.0,[],1,0,17.128834818292464,0.00031720064478319375,0,,0
