transaction_id,amount,failure_type,wait_recovered,close_recovered,category
89,542.08,risk_block,False,False,NEITHER
196,75685.61,temporary_bank_decline,False,True,CLOSE_ONLY
240,4927.81,risk_block,False,False,NEITHER
261,405.48,risk_block,False,False,NEITHER
269,840.78,risk_block,False,False,NEITHER
286,67740.76,network_timeout,False,False,NEITHER
288,10683.21,risk_block,False,False,NEITHER
357,702.75,risk_block,False,False,NEITHER
419,85940.55,card_expired,False,False,NEITHER
499,72258.85,subscription_mandate_fail,False,False,NEITHER
522,167852.09,temporary_bank_decline,False,False,NEITHER
524,127029.45,risk_block,False,False,NEITHER
580,1217.36,risk_block,False,False,NEITHER
795,53800.39,temporary_bank_decline,False,False,NEITHER
919,91642.85,temporary_bank_decline,False,False,NEITHER
933,1663.08,risk_block,False,False,NEITHER
1016,132259.7,temporary_bank_decline,False,False,NEITHER
1041,3896.77,risk_block,False,False,NEITHER
1048,163642.96,temporary_bank_decline,False,False,NEITHER
1110,244011.3,temporary_bank_decline,False,False,NEITHER
1112,3040.75,risk_block,False,False,NEITHER
1128,29904.15,risk_block,False,False,NEITHER
1169,518.78,risk_block,False,False,NEITHER
1180,3248.07,risk_block,False,False,NEITHER
1233,1114.96,risk_block,False,False,NEITHER
1258,60731.68,risk_block,False,False,NEITHER
1344,731.28,risk_block,False,False,NEITHER
1422,132314.08,customer_abandoned,False,False,NEITHER
1424,1219.95,risk_block,False,False,NEITHER
1485,1990.12,risk_block,False,False,NEITHER
1585,856.51,risk_block,False,False,NEITHER
1601,3397.45,risk_block,False,False,NEITHER
1642,49660.76,risk_block,False,False,NEITHER
1732,1409.35,risk_block,False,True,CLOSE_ONLY
1924,1111.81,risk_block,False,False,NEITHER
1962,59189.87,risk_block,False,False,NEITHER
1998,139904.76,network_timeout,False,True,CLOSE_ONLY
2189,1881.93,risk_block,False,False,NEITHER
2195,599.94,risk_block,False,False,NEITHER
2254,7313.13,risk_block,False,False,NEITHER
2268,1535.85,risk_block,False,False,NEITHER
2290,7751.29,risk_block,False,False,NEITHER
2332,5171.7,risk_block,False,False,NEITHER
2353,58830.45,subscription_mandate_fail,True,False,WAIT_ONLY
2378,91614.5,customer_abandoned,False,False,NEITHER
2452,67864.04,temporary_bank_decline,False,False,NEITHER
2466,27370.12,risk_block,False,False,NEITHER
2477,4734.15,risk_block,False,False,NEITHER
2497,2714.75,risk_block,False,False,NEITHER
2501,388.52,risk_block,False,False,NEITHER
2547,73075.85,temporary_bank_decline,False,False,NEITHER
2558,81438.83,subscription_mandate_fail,False,False,NEITHER
2561,2353.4,risk_block,False,False,NEITHER
2575,104399.7,temporary_bank_decline,False,False,NEITHER
2602,106760.56,network_timeout,False,False,NEITHER
2722,121843.97,subscription_mandate_fail,False,False,NEITHER
2731,3719.09,risk_block,False,False,NEITHER
2740,117941.91,insufficient_funds,False,False,NEITHER
2821,1339.85,risk_block,False,False,NEITHER
2828,4174.93,risk_block,False,False,NEITHER
2910,5640.11,risk_block,False,False,NEITHER
2934,62210.2,temporary_bank_decline,False,False,NEITHER
2961,872.14,risk_block,False,False,NEITHER
3012,57709.83,customer_abandoned,False,False,NEITHER
3021,2608.03,risk_block,False,False,NEITHER
3135,6131.21,risk_block,False,False,NEITHER
3226,539.88,risk_block,False,False,NEITHER
3236,1001.43,risk_block,False,False,NEITHER
3281,1277.7,risk_block,False,False,NEITHER
3312,1437.93,risk_block,False,False,NEITHER
3335,9333.76,risk_block,False,False,NEITHER
3383,563.37,risk_block,False,False,NEITHER
3449,608.2,risk_block,False,False,NEITHER
3478,61659.33,risk_block,False,False,NEITHER
3519,1623.12,risk_block,False,False,NEITHER
3530,51963.08,network_timeout,False,False,NEITHER
3600,124111.54,temporary_bank_decline,False,False,NEITHER
3649,2423.98,risk_block,False,False,NEITHER
3740,1915.94,risk_block,False,False,NEITHER
3764,3435.98,risk_block,False,False,NEITHER
3804,462.48,risk_block,False,False,NEITHER
3880,1548.33,risk_block,False,False,NEITHER
3905,1319.31,risk_block,False,False,NEITHER
3950,65579.09,temporary_bank_decline,False,False,NEITHER
4022,75475.07,insufficient_funds,False,False,NEITHER
4045,2159.32,risk_block,False,False,NEITHER
4049,1878.03,risk_block,False,False,NEITHER
4089,1118.05,risk_block,False,False,NEITHER
4117,2139.33,risk_block,False,False,NEITHER
4157,73136.01,temporary_bank_decline,False,False,NEITHER
4229,697.87,risk_block,False,False,NEITHER
4325,709.97,risk_block,False,False,NEITHER
4395,364.65,risk_block,False,False,NEITHER
4449,1181.88,risk_block,False,False,NEITHER
4479,4323.42,risk_block,False,False,NEITHER
4492,2689.96,risk_block,False,False,NEITHER
4518,67119.95,temporary_bank_decline,True,True,BOTH
4551,1525.86,risk_block,False,False,NEITHER
4557,86820.52,temporary_bank_decline,True,False,WAIT_ONLY
4622,1025.38,risk_block,False,False,NEITHER
4634,65511.08,temporary_bank_decline,True,False,WAIT_ONLY
4764,1672.87,risk_block,False,False,NEITHER
4883,55547.53,subscription_mandate_fail,False,False,NEITHER
5027,1849.77,risk_block,False,False,NEITHER
5076,278.89,risk_block,False,False,NEITHER
5110,978.58,risk_block,False,False,NEITHER
5170,90905.5,card_expired,False,False,NEITHER
5175,80881.5,customer_abandoned,False,False,NEITHER
5181,1520.49,risk_block,False,False,NEITHER
5200,1136.5,risk_block,False,False,NEITHER
5203,5108.64,risk_block,False,False,NEITHER
5268,2334.77,risk_block,False,False,NEITHER
5329,3884.01,risk_block,False,False,NEITHER
5623,55408.62,subscription_mandate_fail,False,False,NEITHER
5656,562.48,risk_block,False,False,NEITHER
5669,66051.58,risk_block,False,False,NEITHER
6025,79378.72,card_expired,False,False,NEITHER
6072,1447.33,risk_block,False,False,NEITHER
6100,63910.51,risk_block,False,False,NEITHER
6108,531.86,risk_block,False,False,NEITHER
6181,5972.85,risk_block,False,False,NEITHER
6196,70896.8,network_timeout,False,False,NEITHER
6227,902.49,risk_block,True,False,WAIT_ONLY
6320,1024.43,risk_block,False,False,NEITHER
6441,1294.34,risk_block,False,False,NEITHER
6482,841.53,risk_block,False,False,NEITHER
6609,77036.48,card_expired,False,False,NEITHER
6648,7867.05,risk_block,False,False,NEITHER
6656,66789.16,temporary_bank_decline,False,True,CLOSE_ONLY
6778,65397.11,customer_abandoned,False,False,NEITHER
6785,390.59,risk_block,False,False,NEITHER
6800,5143.95,risk_block,False,False,NEITHER
6805,148184.67,temporary_bank_decline,False,False,NEITHER
6917,64953.85,temporary_bank_decline,False,False,NEITHER
6935,35442.86,risk_block,False,False,NEITHER
7057,117317.69,card_expired,False,False,NEITHER
7148,1416.18,risk_block,False,False,NEITHER
7168,61429.82,network_timeout,False,True,CLOSE_ONLY
7194,130480.18,temporary_bank_decline,False,False,NEITHER
7199,50351.87,temporary_bank_decline,False,False,NEITHER
7282,77680.92,network_timeout,False,False,NEITHER
7297,2410.74,risk_block,False,False,NEITHER
7348,84854.48,card_expired,False,False,NEITHER
7367,52328.55,risk_block,False,False,NEITHER
7373,1276.58,risk_block,False,False,NEITHER
7434,580.84,risk_block,False,False,NEITHER
7549,109770.77,customer_abandoned,False,False,NEITHER
7654,2526.21,risk_block,False,False,NEITHER
7703,114085.35,temporary_bank_decline,False,True,CLOSE_ONLY
7711,1220.02,risk_block,False,False,NEITHER
7755,1360.0,risk_block,False,False,NEITHER
7957,154157.82,network_timeout,False,False,NEITHER
8067,726.56,risk_block,False,False,NEITHER
8085,1650.36,risk_block,False,False,NEITHER
8109,1657.75,risk_block,False,False,NEITHER
8138,58599.99,subscription_mandate_fail,False,False,NEITHER
8195,919.49,risk_block,False,False,NEITHER
8241,909.36,risk_block,False,False,NEITHER
8310,2742.95,risk_block,False,False,NEITHER
8384,72740.24,card_expired,False,False,NEITHER
8465,497.33,risk_block,False,False,NEITHER
8470,66924.93,subscription_mandate_fail,False,False,NEITHER
8560,2464.46,risk_block,False,False,NEITHER
8561,4006.92,risk_block,False,False,NEITHER
8564,1285.76,risk_block,False,False,NEITHER
8582,540.67,risk_block,False,False,NEITHER
8585,104735.68,card_expired,False,False,NEITHER
8588,68232.56,network_timeout,False,False,NEITHER
8599,243.6,risk_block,False,False,NEITHER
8600,4032.84,risk_block,False,False,NEITHER
8619,1529.31,risk_block,False,False,NEITHER
8656,69785.0,temporary_bank_decline,True,False,WAIT_ONLY
8676,1322.4,risk_block,False,False,NEITHER
8728,20253.79,risk_block,False,False,NEITHER
8744,2057.33,risk_block,False,False,NEITHER
8788,115855.73,risk_block,False,False,NEITHER
8793,729.11,risk_block,False,False,NEITHER
8805,1220.79,risk_block,False,False,NEITHER
8807,126841.98,temporary_bank_decline,False,False,NEITHER
8880,2209.18,risk_block,False,False,NEITHER
8895,3007.4,risk_block,False,False,NEITHER
8960,459.08,risk_block,False,False,NEITHER
8974,47524.23,risk_block,False,False,NEITHER
9020,8199.9,risk_block,False,False,NEITHER
9087,38869.41,risk_block,False,False,NEITHER
9138,67427.4,card_expired,False,False,NEITHER
9178,17921.06,risk_block,False,False,NEITHER
9279,2137.36,risk_block,False,False,NEITHER
9293,3032.3,risk_block,False,False,NEITHER
9296,38304.49,risk_block,False,False,NEITHER
9365,74593.24,insufficient_funds,False,False,NEITHER
9398,73250.59,temporary_bank_decline,False,False,NEITHER
9417,891.51,risk_block,False,False,NEITHER
9433,842.03,risk_block,False,False,NEITHER
9489,69955.05,network_timeout,False,True,CLOSE_ONLY
9595,462.95,risk_block,False,False,NEITHER
9688,15205.7,risk_block,False,False,NEITHER
9712,1719.58,risk_block,False,False,NEITHER
9727,578.46,risk_block,False,False,NEITHER
9748,2600.04,risk_block,False,False,NEITHER
9892,547.29,risk_block,False,False,NEITHER
9894,3902.25,risk_block,False,False,NEITHER
9910,73610.34,subscription_mandate_fail,False,False,NEITHER
9950,68927.92,temporary_bank_decline,False,False,NEITHER
